park_id,squirrel_id,primary_fur_color,highlights_in_fur_color,color_notes
15.0,C-15-15,2,4,
15.0,C-15-14,2,4,
15.0,C-15-13,2,4,
8.0,B-08-08,2,4,
4.0,A-04-15,2,4,
1.0,A-01-11,2,4,
12.0,B-12-02,4,4,
11.0,B-11-51,4,4,
11.0,B-11-49,4,4,
11.0,B-11-48,4,4,
11.0,B-11-03,4,4,
6.0,A-06-08,4,4,
4.0,A-04-11,4,4,
4.0,A-04-02,4,4,
22.0,D-22-44,2,3,
22.0,D-22-39,2,3,
22.0,D-22-38,2,3,
22.0,D-22-33,2,3,
22.0,D-22-32,2,3,
22.0,D-22-29,2,3,
22.0,D-22-27,2,3,
22.0,D-22-25,2,3,
22.0,D-22-22,2,3,
22.0,D-22-21,2,3,
22.0,D-22-20,2,3,
22.0,D-22-17,2,3,
22.0,D-22-10,2,3,
22.0,D-22-04,2,3,
21.0,D-21-14,2,3,
21.0,D-21-06,2,3,
21.0,D-21-03,2,3,
21.0,D-21-02,2,3,White underbelly
21.0,D-21-01,2,3,
20.0,C-20-26,2,3,
20.0,C-20-25,2,3,
20.0,C-20-24,2,3,
20.0,C-20-19,2,3,
20.0,C-20-14,2,3,
20.0,C-20-10,2,3,
20.0,C-20-05,2,3,
20.0,C-20-03,2,3,
20.0,C-20-02,2,3,
20.0,C-20-01,2,3,
19.0,C-19-11,2,3,
19.0,C-19-07,2,3,
19.0,C-19-06,2,3,
19.0,C-19-05,2,3,
19.0,C-19-04,2,3,
18.0,C-18-01,2,3,
16.0,C-16-02,2,3,
16.0,C-16-01,2,3,Cinnamon streak down back
15.0,C-15-09,2,3,
15.0,C-15-05,2,3,
15.0,C-15-04,2,3,
14.0,C-14-07,2,3,
14.0,C-14-06,2,3,
14.0,C-14-05,2,3,Cinnamon tail
14.0,C-14-04,2,3,
14.0,C-14-03,2,3,
14.0,C-14-02,2,3,
14.0,C-14-01,2,3,
9.0,B-09-23,2,3,
9.0,B-09-22,2,3,
9.0,B-09-21,2,3,
9.0,B-09-20,2,3,
9.0,B-09-18,2,3,
9.0,B-09-17,2,3,
9.0,B-09-13,2,3,
9.0,B-09-12,2,3,
9.0,B-09-11,2,3,
9.0,B-09-10,2,3,
9.0,B-09-09,2,3,
9.0,B-09-08,2,3,
9.0,B-09-07,2,3,
9.0,B-09-06,2,3,
9.0,B-09-05,2,3,
9.0,B-09-04,2,3,
9.0,B-09-03,2,3,
9.0,B-09-02,2,3,
9.0,B-09-01,2,3,
8.0,B-08-07,2,3,Cinnamon tail
7.0,B-07-08,2,3,
3.0,A-03-16,2,3,
3.0,A-03-15,2,3,
